1-5 years,"Female population, 1-5 years old","Only extreme rainfall affected female population, 1-5 years old","Only extreme heat affected female population, 1-5 years old","Only drought affected female population, 1-5 years old","Only strong hurricanes affected female population, 1-5 years old","Extreme rainfall & heat affected female population, 1-5 years old","Extreme rainfall & drought affected female population, 1-5 years old","Extreme rainfall & hurricanes affected female population, 1-5 years old","Extreme heat & drought affected female population, 1-5 years old","Extreme heat & hurricanes affected female population, 1-5 years old","Drought & strong hurricanes affected female population, 1-5 years old","Extreme rainfall, heat, & drought affected female population, 1-5 years old","Extreme rainfall, heat, & hurricanes affected female population, 1-5 years old","Extreme rainfall, drought, & hurricanes affected female population, 1-5 years old","Extreme heat, drought, & hurricanes affected female population, 1-5 years old","Extreme rainfall, heat, drought, & hurricanes affected female population, 1-5 years old","% Only extreme rainfall affected female population, 1-5 years old","% Only extreme heat affected female population, 1-5 years old","% Only drought affected female population, 1-5 years old","% Only strong hurricanes affected female population, 1-5 years old","% Extreme rainfall & heat affected female population, 1-5 years old","% Extreme rainfall & drought affected female population, 1-5 years old","% Extreme rainfall & hurricanes affected female population, 1-5 years old","% Extreme heat & drought affected female population, 1-5 years old","% Extreme heat & hurricanes affected female population, 1-5 years old","% Drought & strong hurricanes affected female population, 1-5 years old","% Extreme rainfall, heat, & drought affected female population, 1-5 years old","% Extreme rainfall, heat, & hurricanes affected female population, 1-5 years old","% Extreme rainfall, drought, & hurricanes affected female population, 1-5 years old","% Extreme heat, drought, & hurricanes affected female population, 1-5 years old","% Extreme rainfall, heat, drought, & hurricanes affected female population, 1-5 years old","Extreme climate affected female population, 1-5 years old","% Extreme climate affected female population, 1-5 years old","Extreme rainfall affected female population, 1-5 years old","% Extreme rainfall affected female population, 1-5 years old","Extreme heat affected female population, 1-5 years old","% Extreme heat affected female population, 1-5 years old","Drought affected female population, 1-5 years old","% Drought affected female population, 1-5 years old","Strong hurricanes affected female population, 1-5 years old","% Strong hurricanes affected female population, 1-5 years old"
31,173742.1,0.0,50214.6,2127.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.901804,1.2242439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52341.63,30.126049,0.0,0.0,50214.6,28.901804,2127.027,1.2242439,0.0,0.0
32,21593.344,47.95957,2213.3796,10526.692,0.0,0.0,0.0,0.0,1166.9645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22210349,10.250287,48.74971,0.0,0.0,0.0,0.0,5.4042788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13954.996,64.62638,47.95957,0.22210349,3380.3442,15.654567,11693.657,54.15399,0.0,0.0
33,93465.35,0.0,16.96025,91484.8,0.0,0.0,0.0,0.0,0.4393375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01814603,97.88098,0.0,0.0,0.0,0.0,0.00047005387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91502.195,97.8996,0.0,0.0,17.399588,0.018616082,91485.234,97.88144,0.0,0.0
34,69044.945,0.0,5502.85,53705.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9699535,77.78405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59208.81,85.75401,0.0,0.0,5502.85,7.9699535,53705.957,77.78405,0.0,0.0
35,36840.133,0.0,1753.4143,17734.844,0.0,0.0,0.0,0.0,12803.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7595224,48.14001,0.0,0.0,0.0,0.0,34.753456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32291.477,87.65299,0.0,0.0,14556.633,39.512974,30538.062,82.89346,0.0,0.0
36,38819.375,0.3032183,1.0685558,18960.205,20.446053,0.0,0.0013808125,114.3117,0.0,1.6592096,0.0,0.007738758,18.314665,0.2385235,0.0,0.0006495606,0.0007811004,0.0027526354,48.842117,0.05266971,0.0,3.557019e-06,0.29447073,0.0,0.004274179,0.0,1.9935296e-05,0.047179185,0.0006144445,0.0,1.6732897e-06,19116.555,49.24488,133.17787,0.34307063,21.05082,0.054227613,18960.453,48.842754,154.9708,0.39920992
37,788.9833,0.0,0.0,788.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.9833,100.0,0.0,0.0,0.0,0.0,788.9833,100.0,0.0,0.0
38,10177.284,0.0,71.86604,119.29455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70614165,1.1721649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.16058,1.8783065,0.0,0.0,71.86604,0.70614165,119.29455,1.1721649,0.0,0.0
39,69590.95,0.0,18978.205,9363.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27108,13.45436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28341.223,40.72544,0.0,0.0,18978.205,27.27108,9363.018,13.45436,0.0,0.0
40,60083.055,0.0,26176.068,0.42696074,0.0,0.0,0.0,0.0,0.1902809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.56647,0.0007106176,0.0,0.0,0.0,0.0,0.00031669645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26176.686,43.5675,0.0,0.0,26176.258,43.566788,0.6172416,0.001027314,0.0,0.0
